hour,day_of_week,month,rush_intensity,time_of_day,season,day_type,traffic_volume,avg_speed,travel_time,vol_speed_ratio,temp_celsius,rain_1h,snow_1h,clouds_all,weather_encoded,bad_weather,congestion_level
2,1,4,0,3,1,2,312,81.0,21.2,3.805,10.02,0.0,0.0,1,0,0,0
3,1,4,0,3,1,2,367,82.3,22.7,4.406,8.89,0.0,0.0,1,0,0,0
4,1,4,0,3,1,2,835,82.2,25.1,10.036,8.54,0.0,0.0,1,0,0,0
5,1,4,0,0,1,2,2726,65.0,38.7,41.303,8.17,0.0,0.0,1,0,0,1
6,1,4,0,0,1,2,5689,33.6,50.8,164.422,7.59,0.0,0.0,1,0,0,2
7,1,4,2,0,1,2,6990,19.8,56.0,336.058,7.42,0.0,0.0,1,0,0,2
8,1,4,2,0,1,2,5985,29.2,45.7,198.179,8.71,0.0,0.0,1,0,0,2
9,1,4,2,0,1,2,5309,32.5,47.3,158.478,11.83,0.0,0.0,1,0,0,2
10,1,4,1,0,1,2,4603,41.8,46.2,107.547,16.03,0.0,0.0,1,0,0,2
11,1,4,1,0,1,2,4884,39.8,43.6,119.706,18.4,0.0,0.0,1,0,0,2
12,1,4,0,1,1,2,5104,42.1,49.9,118.422,21.82,0.0,0.0,1,0,0,2
13,1,4,0,1,1,2,5178,39.3,47.0,128.486,23.23,0.0,0.0,1,0,0,2
14,1,4,1,1,1,2,5501,29.7,48.1,179.186,24.17,0.0,0.0,1,0,0,2
15,1,4,1,1,1,2,5713,33.8,46.6,164.167,25.02,0.0,0.0,1,0,0,2
16,1,4,2,1,1,2,6292,25.9,54.5,233.903,24.91,0.0,0.0,20,1,0,2
17,1,4,2,2,1,2,6057,27.4,48.6,213.275,24.52,0.0,0.0,20,1,0,2
18,1,4,2,2,1,2,4907,42.8,43.4,112.032,23.21,0.0,0.0,40,1,0,2
19,1,4,0,2,1,2,3503,58.1,33.8,59.272,20.7,0.0,0.0,40,1,0,1
20,1,4,0,2,1,2,3037,62.4,37.0,47.902,19.28,0.0,0.0,40,1,0,1
21,1,4,0,3,1,2,2822,59.3,35.3,46.799,18.62,0.0,0.0,75,1,0,1
22,1,4,0,3,1,2,1992,69.2,30.0,28.376,18.21,0.0,0.0,75,1,0,0
23,1,4,0,3,1,2,1166,79.3,27.3,14.521,17.97,0.0,0.0,75,1,0,0
0,3,5,0,3,1,2,627,86.7,24.4,7.149,17.48,0.0,0.0,75,1,0,0
1,3,5,0,3,1,2,388,84.7,21.2,4.527,17.31,0.0,0.0,40,1,0,0
3,3,5,0,3,1,2,368,85.8,20.3,4.24,16.11,0.0,0.0,0,0,0,0
5,3,5,0,0,1,2,2489,61.8,29.0,39.634,10.06,0.0,0.0,75,1,0,0
6,3,5,0,0,1,2,5537,31.0,47.3,173.031,9.09,0.0,0.0,90,1,0,2
7,3,5,2,0,1,2,6628,26.2,50.5,243.676,8.54,0.0,0.0,90,1,0,2
8,3,5,2,0,1,2,5534,38.7,48.0,139.395,7.42,0.0,0.0,90,1,0,2
9,3,5,2,0,1,2,5403,35.8,46.7,146.821,6.87,0.0,0.0,75,1,0,2
10,3,5,1,0,1,2,4770,45.3,43.0,103.024,6.96,0.0,0.0,75,1,0,2
11,3,5,1,0,1,2,5217,38.9,48.2,130.752,6.85,0.0,0.0,90,1,0,2
12,3,5,0,1,1,2,5870,29.4,47.4,193.092,7.38,0.0,0.0,90,1,0,2
13,3,5,0,1,1,2,5967,31.4,46.1,184.167,8.28,0.0,0.0,75,1,0,2
14,3,5,1,1,1,2,6108,33.5,50.1,177.043,8.63,0.0,0.0,90,1,0,2
15,3,5,1,1,1,2,6128,28.6,49.2,207.027,8.76,0.0,0.0,90,1,0,2
16,3,5,2,1,1,2,6069,34.0,50.6,173.4,8.58,0.0,0.0,90,1,0,2
17,3,5,2,2,1,2,6169,20.5,49.0,286.93,8.27,0.0,0.0,90,1,0,2
18,3,5,2,2,1,2,5384,38.6,47.8,135.96,7.72,0.0,0.0,90,1,0,2
19,3,5,0,2,1,2,4063,49.6,38.4,80.296,7.0,0.0,0.0,90,1,0,1
20,3,5,0,2,1,2,3364,55.5,34.9,59.54,6.63,0.0,0.0,90,1,0,1
21,3,5,0,3,1,2,2971,60.6,36.1,48.231,6.5,0.0,0.0,75,1,0,1
22,3,5,0,3,1,2,2450,59.5,32.2,40.496,6.07,0.0,0.0,40,1,0,0
23,3,5,0,3,1,2,1832,71.0,26.8,25.444,5.91,0.0,0.0,40,1,0,0
0,6,6,0,3,2,2,1231,78.8,24.3,15.426,5.66,0.0,0.0,90,1,0,0
1,6,6,0,3,2,2,718,87.3,22.8,8.131,5.4,0.0,0.0,90,1,0,0
2,6,6,0,3,2,2,545,83.0,20.4,6.488,5.44,0.0,0.0,90,1,0,0
4,6,6,0,3,2,2,411,83.5,21.5,4.864,3.84,0.0,0.0,75,1,0,0
5,6,6,0,0,2,2,688,81.6,22.9,8.329,3.2,0.0,0.0,20,1,0,0
6,6,6,0,0,2,2,1352,79.2,24.9,16.858,2.25,0.0,0.0,1,0,0,0
7,6,6,2,0,2,2,2072,70.3,31.7,29.06,2.02,0.0,0.0,1,0,0,0
8,6,6,2,0,2,2,3342,55.0,34.7,59.679,1.84,0.0,0.0,1,0,0,1
9,6,6,2,0,2,2,4258,49.0,43.8,85.16,1.94,0.0,0.0,40,1,0,1
10,6,6,1,0,2,2,4861,41.7,43.9,113.841,3.73,0.0,0.0,20,1,0,2
11,6,6,1,0,2,2,5191,41.0,44.6,123.595,4.89,0.0,0.0,20,1,0,2
12,6,6,0,1,2,2,5669,31.2,49.4,176.056,5.93,0.0,0.0,40,1,0,2
13,6,6,0,1,2,2,5074,38.3,45.4,129.109,6.97,0.0,0.0,75,1,0,2
14,6,6,1,1,2,2,5025,38.6,46.6,126.894,7.1,0.0,0.0,75,1,0,2
15,6,6,1,1,2,2,5153,34.1,41.8,146.809,6.85,0.0,0.0,75,1,0,2
16,6,6,2,1,2,2,5024,40.6,46.2,120.769,5.91,0.0,0.0,90,1,0,2
17,6,6,2,2,2,2,4779,43.0,42.9,108.614,5.76,0.0,0.0,90,1,0,2
18,6,6,2,2,2,2,4362,46.4,41.9,92.025,5.24,0.0,0.0,90,1,0,1
19,6,6,0,2,2,2,3860,50.7,39.1,74.662,5.01,0.0,0.0,90,1,0,1
20,6,6,0,2,2,2,3160,54.2,38.5,57.246,5.01,0.0,0.0,90,1,0,1
21,6,6,0,3,2,2,2992,58.8,31.2,50.033,4.78,0.0,0.0,90,1,0,1
22,6,6,0,3,2,2,3202,57.0,39.2,55.207,3.75,0.0,0.0,90,1,0,1
23,6,6,0,3,2,2,1941,68.2,31.1,28.049,3.19,0.0,0.0,75,1,0,0
0,1,7,0,3,2,2,1233,77.2,26.5,15.767,2.96,0.0,0.0,75,1,0,0
3,1,7,0,3,2,2,323,88.0,18.7,3.629,2.58,0.0,0.0,90,1,0,0
4,1,7,0,3,2,2,312,92.5,18.2,3.337,2.5,0.0,0.0,90,1,0,0
5,1,7,0,0,2,2,627,84.3,22.0,7.351,2.36,0.0,0.0,75,1,0,0
6,1,7,0,0,2,2,1508,75.7,28.8,19.661,1.9,0.0,0.0,90,1,0,0
7,1,7,2,0,2,2,1539,74.4,27.7,20.411,1.62,0.0,0.0,90,1,0,0
8,1,7,2,0,2,2,2232,61.9,32.3,35.485,1.62,0.0,0.0,75,1,0,0
9,1,7,2,0,2,2,4568,44.2,39.9,101.062,2.4,0.0,0.0,75,1,0,2
10,1,7,1,0,2,2,4624,43.9,43.2,102.984,3.09,0.0,0.0,75,1,0,2
11,1,7,1,0,2,2,4529,52.1,44.8,85.292,3.86,0.0,0.0,90,1,0,2
12,1,7,0,1,2,2,5139,38.0,48.6,131.769,4.28,0.0,0.0,90,1,0,2
13,1,7,0,1,2,2,6640,24.5,50.7,260.392,5.3,0.0,0.0,90,1,0,2
14,1,7,1,1,2,2,6589,24.0,52.2,263.56,6.12,0.0,0.0,90,1,0,2
15,1,7,1,1,2,2,4429,42.2,41.5,102.523,6.12,0.0,0.0,90,1,0,1
16,1,7,2,1,2,2,4329,50.1,40.4,84.716,6.29,0.0,0.0,90,1,0,1
17,1,7,2,2,2,2,3833,53.9,41.0,69.818,6.17,0.0,0.0,90,1,0,1
18,1,7,2,2,2,2,4015,52.2,45.8,75.47,6.12,0.0,0.0,90,1,0,1
19,1,7,0,2,2,2,3382,53.5,34.7,62.055,4.96,0.0,0.0,90,1,0,1
20,1,7,0,2,2,2,2815,66.1,34.9,41.952,3.64,0.0,0.0,75,1,0,1
21,1,7,0,3,2,2,2110,64.7,31.1,32.116,2.58,0.0,0.0,90,1,0,0
22,1,7,0,3,2,2,1555,76.2,28.4,20.142,1.73,0.0,0.0,75,1,0,0
23,1,7,0,3,2,2,959,87.0,27.5,10.898,0.77,0.0,0.0,20,1,0,0
0,4,8,0,3,2,2,455,82.5,23.0,5.449,-0.07,0.0,0.0,20,1,0,0
1,4,8,0,3,2,2,336,84.9,17.4,3.912,-0.53,0.0,0.0,20,1,0,0
2,4,8,0,3,2,2,265,87.6,18.5,2.991,-1.37,0.0,0.0,1,0,0,0
3,4,8,0,3,2,2,314,85.3,19.4,3.638,-2.1,0.0,0.0,1,0,0,0
4,4,8,0,3,2,2,779,77.6,22.4,9.911,-2.52,0.0,0.0,1,0,0,0
5,4,8,0,0,2,2,2571,64.5,32.6,39.252,-2.82,0.0,0.0,1,0,0,1
6,4,8,0,0,2,2,5563,31.2,47.4,172.764,-3.54,0.0,0.0,20,1,0,2
7,4,8,2,0,2,2,6676,24.7,49.7,259.767,-3.14,0.0,0.0,20,1,0,2
8,4,8,2,0,2,2,5966,27.6,46.6,208.601,-1.92,0.0,0.0,20,1,0,2
9,4,8,2,0,2,2,4832,46.3,39.9,102.156,0.56,0.0,0.0,20,1,0,2
10,4,8,1,0,2,2,4395,43.7,38.9,98.322,3.62,0.0,0.0,20,1,0,1
11,4,8,1,0,2,2,4411,44.9,44.0,96.1,6.32,0.0,0.0,20,1,0,1
12,4,8,0,1,2,2,4648,46.0,42.7,98.894,6.69,0.0,0.0,1,0,0,2
13,4,8,0,1,2,2,4602,40.3,41.1,111.429,9.19,0.0,0.0,40,1,0,2
14,4,8,1,1,2,2,5125,39.4,41.8,126.856,9.79,0.0,0.0,40,1,0,2
15,4,8,1,1,2,2,5502,38.9,45.5,137.895,10.33,0.0,0.0,1,0,0,2
16,4,8,2,1,2,2,5979,25.4,51.1,226.477,11.18,0.0,0.0,1,0,0,2
17,4,8,2,2,2,2,5663,33.9,49.3,162.264,11.33,0.0,0.0,40,1,0,2
18,4,8,2,2,2,2,4259,48.2,40.8,86.565,11.08,0.0,0.0,40,1,0,1
19,4,8,0,2,2,2,3069,61.7,34.8,48.947,8.84,0.0,0.0,20,1,0,1
20,4,8,0,2,2,2,2378,62.5,28.3,37.449,6.66,0.0,0.0,1,0,0,0
21,4,8,0,3,2,2,2030,65.7,28.6,30.435,6.2,0.0,0.0,1,0,0,0
22,4,8,0,3,2,2,1400,77.6,28.1,17.812,5.75,0.0,0.0,1,0,0,0
23,4,8,0,3,2,2,917,81.7,23.2,11.088,5.31,0.0,0.0,1,0,0,0
0,0,9,0,3,3,2,515,85.6,25.8,5.947,4.63,0.0,0.0,1,0,0,0
1,0,9,0,3,3,2,302,88.0,23.9,3.393,4.12,0.0,0.0,1,0,0,0
2,0,9,0,3,3,2,251,85.4,20.3,2.905,4.32,0.0,0.0,1,0,0,0
4,0,9,0,3,3,2,798,82.7,23.5,9.534,3.82,0.0,0.0,20,1,0,0
5,0,9,0,0,3,2,2678,64.1,37.8,41.137,3.37,0.0,0.0,40,1,0,1
6,0,9,0,0,3,2,5733,30.5,50.4,182.0,3.45,0.0,0.0,40,1,0,2
7,0,9,2,0,3,2,6449,31.1,52.4,200.903,4.16,0.0,0.0,75,1,0,2
8,0,9,2,0,3,2,5765,33.8,49.2,165.661,5.23,0.0,0.0,90,1,0,2
9,0,9,2,0,3,2,5599,30.4,48.3,178.312,6.2,0.0,0.0,90,1,0,2
10,0,9,1,0,3,2,4534,46.6,42.6,95.252,8.22,0.0,0.0,90,1,0,2
11,0,9,1,0,3,2,4691,40.2,41.3,113.859,9.96,0.0,0.0,90,1,0,2
12,0,9,0,1,3,2,5067,41.7,44.5,118.665,10.93,0.0,0.0,75,1,0,2
13,0,9,0,1,3,2,5030,43.2,42.3,113.801,11.99,0.0,0.0,75,1,0,2
14,0,9,1,1,3,2,5300,34.5,47.9,149.296,13.2,0.0,0.0,90,1,0,2
15,0,9,1,1,3,2,5777,35.1,48.6,160.028,14.08,0.0,0.0,100,2,1,2
16,0,9,2,1,3,2,6349,27.7,53.3,221.22,15.38,0.0,0.0,90,1,0,2
17,0,9,2,2,3,2,6127,31.2,48.1,190.28,17.22,0.0,0.0,90,1,0,2
18,0,9,2,2,3,2,4460,51.1,45.1,85.605,16.98,0.0,0.0,90,1,0,1
19,0,9,0,2,3,2,3418,55.1,39.7,60.927,15.71,0.0,0.0,75,1,0,1
20,0,9,0,2,3,2,2775,60.0,30.7,45.492,14.21,0.0,0.0,90,1,0,1
21,0,9,0,3,3,2,2306,64.3,30.5,35.314,11.96,0.0,0.0,90,1,0,0
22,0,9,0,3,3,2,1846,69.1,28.4,26.334,10.31,0.0,0.0,90,1,0,0
23,0,9,0,3,3,2,947,80.3,21.9,11.648,9.3,0.0,0.0,90,1,0,0
0,2,10,0,3,3,2,494,86.1,22.0,5.672,8.73,0.0,0.0,90,1,0,0
1,2,10,0,3,3,2,332,87.5,22.8,3.751,8.63,0.0,0.0,90,1,0,0
2,2,10,0,3,3,2,261,89.9,20.4,2.871,7.94,0.0,0.0,75,1,0,0
3,2,10,0,3,3,2,361,86.4,18.4,4.13,8.02,0.0,0.0,90,1,0,0
6,2,10,0,0,3,2,5875,35.6,50.9,160.519,8.1,0.0,0.0,92,0,0,2
7,2,10,2,0,3,2,6793,21.3,52.4,304.619,8.1,0.0,0.0,99,2,1,2
7,2,10,2,0,3,2,6793,30.2,52.6,217.724,8.1,0.0,0.0,99,2,1,2
8,2,10,2,0,3,2,6283,29.0,54.8,209.433,6.95,0.0,0.0,99,2,1,2
8,2,10,2,0,3,2,6283,24.6,52.2,245.43,6.95,0.0,0.0,99,2,1,2
9,2,10,2,0,3,2,5680,30.0,46.8,183.226,6.46,0.0,0.0,99,2,1,2
9,2,10,2,0,3,2,5680,34.6,46.0,159.551,6.46,0.0,0.0,99,2,1,2
10,2,10,1,0,3,2,4632,43.0,45.1,105.273,6.52,0.0,0.0,99,0,0,2
11,2,10,1,0,3,2,4887,43.3,46.2,110.316,7.04,0.0,0.0,1,0,0,2
12,2,10,0,1,3,2,5030,41.1,44.1,119.477,8.94,0.0,0.0,75,1,0,2
13,2,10,0,1,3,2,5067,39.1,42.8,126.359,9.11,0.0,0.0,75,1,0,2
14,2,10,1,1,3,2,5227,35.2,46.9,144.392,8.9,0.0,0.0,90,1,0,2
15,2,10,1,1,3,2,5610,29.4,49.2,184.539,8.44,0.0,0.0,90,1,0,2
16,2,10,2,1,3,2,6286,25.8,50.7,234.552,8.08,0.0,0.0,81,0,0,2
18,2,10,2,2,3,2,4775,44.8,41.7,104.258,9.45,0.0,0.0,81,0,0,2
19,2,10,0,2,3,2,3340,57.2,36.7,57.388,9.45,0.0,0.0,81,0,0,1
20,2,10,0,2,3,2,3013,56.1,36.0,52.767,9.45,0.0,0.0,81,0,0,1
21,2,10,0,3,3,2,2603,64.5,32.0,39.74,9.45,0.0,0.0,81,0,0,1
22,2,10,0,3,3,2,1910,72.1,30.1,26.129,9.45,0.0,0.0,81,0,0,0
23,2,10,0,3,3,2,1037,77.0,25.9,13.295,9.45,0.0,0.0,81,0,0,0
1,5,11,0,3,3,2,347,87.0,24.0,3.943,0.75,0.0,0.0,1,0,0,0
3,5,11,0,3,3,2,350,86.7,20.9,3.991,1.25,0.0,0.0,75,1,0,0
4,5,11,0,3,3,2,850,78.1,22.0,10.746,0.9,0.0,0.0,75,1,0,0
5,5,11,0,0,3,2,2791,63.2,33.8,43.474,0.56,0.0,0.0,40,1,0,1
6,5,11,0,0,3,2,5809,33.6,52.4,167.89,-0.49,0.0,0.0,1,0,0,2
7,5,11,2,0,3,2,6798,25.3,50.5,258.479,-0.5,0.0,0.0,1,0,0,2
8,5,11,2,0,3,2,6304,30.1,46.9,202.701,-0.63,0.0,0.0,1,0,0,2
9,5,11,2,0,3,2,5291,33.0,46.2,155.618,2.04,0.0,0.0,20,1,0,2
10,5,11,1,0,3,2,4638,40.8,42.4,110.957,2.19,0.0,0.0,1,0,0,2
14,5,11,1,1,3,2,5557,36.0,47.4,150.189,10.95,0.0,0.0,50,0,0,2
15,5,11,1,1,3,2,5818,33.4,48.6,169.128,10.95,0.0,0.0,50,0,0,2
16,5,11,2,1,3,2,6272,28.8,53.4,210.47,10.63,0.0,0.0,75,1,0,2
17,5,11,2,2,3,2,5944,42.1,49.6,137.912,10.37,0.0,0.0,75,1,0,2
18,5,11,2,2,3,2,4949,42.2,46.4,114.56,10.17,0.0,0.0,90,1,0,2
19,5,11,0,2,3,2,3511,58.3,32.6,59.207,8.91,0.0,0.0,90,1,0,1
20,5,11,0,2,3,2,3039,62.5,34.1,47.858,8.8,0.0,0.0,90,1,0,1
21,5,11,0,3,3,2,2679,65.2,31.8,40.468,8.66,0.0,0.0,90,1,0,1
22,5,11,0,3,3,2,2094,68.1,25.9,30.304,9.01,0.0,0.0,90,1,0,0
23,5,11,0,3,3,2,1284,79.4,26.6,15.97,9.38,0.0,0.0,90,1,0,0
0,0,12,0,3,0,2,630,81.4,22.9,7.646,10.76,0.0,0.0,90,1,0,0
1,0,12,0,3,0,2,410,85.2,21.1,4.756,11.49,0.0,0.0,90,1,0,0
2,0,12,0,3,0,2,331,85.2,21.4,3.84,11.46,0.0,0.0,90,1,0,0
3,0,12,0,3,0,2,372,86.5,22.1,4.251,10.03,0.0,0.0,72,2,1,0
4,0,12,0,3,0,2,739,89.6,25.7,8.157,9.11,0.0,0.0,72,2,1,0
5,0,12,0,0,0,2,2561,58.8,34.1,42.826,7.62,0.0,0.0,72,2,1,1
6,0,12,0,0,0,2,5586,36.2,48.6,150.161,5.38,0.0,0.0,75,1,0,2
7,0,12,2,0,0,2,6992,15.2,59.6,431.605,4.49,0.0,0.0,75,1,0,2
8,0,12,2,0,0,2,5860,30.0,47.9,189.032,4.75,0.0,0.0,90,1,0,2
9,0,12,2,0,0,2,5230,41.0,43.4,124.524,5.03,0.0,0.0,90,1,0,2
10,0,12,1,0,0,2,4864,41.6,46.7,114.178,6.14,0.0,0.0,75,1,0,2
11,0,12,1,0,0,2,5146,35.3,49.5,141.763,7.3,0.0,0.0,75,1,0,2
12,0,12,0,1,0,2,5526,32.6,46.4,164.464,7.8,0.0,0.0,40,1,0,2
13,0,12,0,1,0,2,5383,38.2,49.7,137.321,8.59,0.0,0.0,40,1,0,2
14,0,12,1,1,0,2,5758,30.2,47.7,184.551,8.69,0.0,0.0,75,1,0,2
15,0,12,1,1,0,2,5889,31.8,50.6,179.543,9.3,0.0,0.0,75,1,0,2
16,0,12,2,1,0,2,6057,29.6,51.6,197.941,9.05,0.0,0.0,75,1,0,2
17,0,12,2,2,0,2,6028,27.8,48.9,209.306,8.39,0.0,0.0,40,1,0,2
18,0,12,2,2,0,2,5257,43.9,50.0,117.082,7.06,0.0,0.0,20,1,0,2
23,0,12,0,3,0,2,1897,72.9,33.4,25.67,9.05,0.0,0.0,56,0,0,0
0,5,10,0,3,3,2,1335,70.6,24.6,18.645,-0.57,0.0,0.0,1,0,0,0
1,5,10,0,3,3,2,769,82.9,24.2,9.166,-1.09,0.0,0.0,1,0,0,0
2,5,10,0,3,3,2,570,82.3,24.7,6.843,-2.16,0.0,0.0,1,0,0,0
3,5,10,0,3,3,2,413,88.4,18.3,4.62,-2.86,0.0,0.0,20,1,0,0
4,5,10,0,3,3,2,399,83.6,22.0,4.716,-3.67,0.0,0.0,1,0,0,0
5,5,10,0,0,3,2,740,82.3,20.4,8.884,-3.88,0.0,0.0,1,0,0,0
6,5,10,0,0,3,2,1420,77.3,28.4,18.135,-4.24,0.0,0.0,1,0,0,0
7,5,10,2,0,3,2,2220,70.4,31.3,31.092,-4.17,0.0,0.0,75,1,0,0
8,5,10,2,0,3,2,3479,51.6,36.6,66.141,-3.92,0.0,0.0,40,1,0,1
9,5,10,2,0,3,2,4546,43.5,39.6,102.157,-0.54,0.0,0.0,40,1,0,2
10,5,10,1,0,3,2,4579,42.8,41.7,104.543,3.63,0.0,0.0,20,1,0,2
11,5,10,1,0,3,2,4438,43.7,43.2,99.284,6.07,0.0,0.0,1,0,0,1
12,5,10,0,1,3,2,4623,49.1,43.0,92.275,7.2,0.0,0.0,1,0,0,2
13,5,10,0,1,3,2,4440,46.8,44.6,92.887,8.66,0.0,0.0,1,0,0,1
14,5,10,1,1,3,2,4495,41.3,44.7,106.265,9.9,0.0,0.0,1,0,0,1
15,5,10,1,1,3,2,4483,47.9,44.6,91.677,10.81,0.0,0.0,1,0,0,1
16,5,10,2,1,3,2,4591,50.5,41.9,89.146,11.38,0.0,0.0,1,0,0,2
17,5,10,2,2,3,2,4477,48.3,43.0,90.811,11.29,0.0,0.0,1,0,0,1
18,5,10,2,2,3,2,4221,43.2,39.2,95.498,10.49,0.0,0.0,1,0,0,1
19,5,10,0,2,3,2,3672,51.8,35.8,69.545,8.7,0.0,0.0,20,1,0,1
20,5,10,0,2,3,2,3015,63.7,37.4,46.6,8.23,0.0,0.0,1,0,0,1
21,5,10,0,3,3,2,2769,60.2,31.5,45.245,8.69,0.0,0.0,75,1,0,1
22,5,10,0,3,3,2,2875,62.6,31.8,45.204,9.08,0.0,0.0,90,1,0,1
23,5,10,0,3,3,2,1931,73.0,29.9,26.095,9.03,0.0,0.0,90,1,0,0
0,6,10,0,3,3,2,1309,74.1,26.0,17.43,9.34,0.0,0.0,90,1,0,0
1,6,10,0,3,3,2,870,81.1,24.0,10.597,9.39,0.0,0.0,90,1,0,0
2,6,10,0,3,3,2,654,73.7,27.9,8.755,9.43,0.0,0.0,90,1,0,0
3,6,10,0,3,3,2,364,83.3,19.8,4.318,9.08,0.0,0.0,90,1,0,0
4,6,10,0,3,3,2,262,86.6,22.3,2.991,8.93,0.0,0.0,90,1,0,0
5,6,10,0,0,3,2,505,81.2,22.7,6.144,9.08,0.0,0.0,90,1,0,0
6,6,10,0,0,3,2,861,86.3,26.3,9.863,9.09,0.0,0.0,90,1,0,0
7,6,10,2,0,3,2,1132,74.4,24.1,15.013,9.09,0.0,0.0,90,1,0,0
8,6,10,2,0,3,2,1797,70.7,28.5,25.063,9.09,0.0,0.0,57,4,1,0
9,6,10,2,0,3,2,2685,63.5,33.7,41.628,9.28,0.0,0.0,57,2,1,1
9,6,10,2,0,3,2,2685,67.5,30.6,39.197,9.28,0.0,0.0,57,4,1,1
9,6,10,2,0,3,2,2685,58.8,29.8,44.9,9.28,0.0,0.0,57,4,1,1
10,6,10,1,0,3,2,3370,59.8,36.8,55.428,9.18,0.0,0.0,57,2,1,1
10,6,10,1,0,3,2,3370,56.3,39.5,58.813,9.18,0.0,0.0,57,4,1,1
11,6,10,1,0,3,2,3662,50.4,37.6,71.245,9.67,0.0,0.0,57,2,1,1
11,6,10,1,0,3,2,3662,54.8,37.9,65.627,9.67,0.0,0.0,57,4,1,1
12,6,10,0,1,3,2,4076,49.8,42.7,80.236,10.18,0.0,0.0,57,4,1,1
12,6,10,0,1,3,2,4076,47.4,40.1,84.215,10.18,0.0,0.0,57,2,1,1
12,6,10,0,1,3,2,4076,49.4,41.9,80.873,10.18,0.0,0.0,57,2,1,1
13,6,10,0,1,3,2,4128,47.6,46.0,84.938,10.6,0.0,0.0,93,2,1,1
13,6,10,0,1,3,2,4128,49.1,39.5,82.395,10.6,0.0,0.0,93,4,1,1
13,6,10,0,1,3,2,4128,50.7,40.3,79.845,10.6,0.0,0.0,93,2,1,1
